category,text,sentence_length
POLITICS,ferguson lawmaker approve deal curb abusive policing agreement doj st louis suburb requires overhaul law enforcement agency municipal court system,20
POLITICS,steve scalise make emotional return congress june shooting lawmaker thanks police hero saved others baseball field,16
STYLE,hillary clinton date night involved applause statement necklace course whole lot girl power,13
POLITICS,arianna trump failing make deal matter cant make deal party expect make deal mexico,14
POLITICS,supreme court allows trump latest travel ban go fully effect decision mean ban go fully effect people seeking enter united state iran libya syria yemen somalia chad,27
POLITICS,republican turn industry advice reorganize interior department ryan zinke planning major agency overhaul secrecy mirror republican party legislative flybynight style” said one house democrat,24
POLITICS,tweeter troll corey lewandowski calling donald trump hemingway twitter trump aint even ernest go camp,15
POLITICS,huffpost hill medium cover donald trump speech donald trump set accept republican presidential nomination evening though whether sax solo,19
POLITICS,pennsylvania latina lawmaker get cut arguing englishonly bill bill violation first amendment right interferes th amendment,16
STYLE,fashion week already inclusive usual please dont let passing fad,10
POLITICS,frustrated parent rally nationwide reclaim school kid need public education work,11
POLITICS,federal judge may order hillary clinton testify ongoing email controversy move may necessary determine whether email set circumvent freedom information law,21
POLITICS,even bernie sander surprised recent boost poll yes im stunned,10
POLITICS,woman blew race cure face jon ossoff georgia cant make,10
POLITICS,chrissy teigen taunt donald trump twitter blocking ruling tweeter including mexico former president vicente fox also poked fun trump news,20
STYLE,lesson selflove could learn uzo aduba started think value gap tooth,11
POLITICS,white house official cant say knew porter allegation chief staff john kelly counsel mcgahn facing criticism dealing abuse allegation earlier,20
POLITICS,obama administration want welcome even refugee next year republican arent happy,11
POLITICS,judge lift order barring rnc undertaking ballot security measure getting rid order raise concern republican may engage voter intimidation tactic,20
POLITICS,maryland gop governor sign broad set gun bill law measure include bump stock ban least million program stem gun violence,20
POLITICS,wisconsin bill would let toddler hunt gun legislation actually isnt unusual state minimum hunting age,15
POLITICS,twitter bash incredibly awkward style shot donald trump jr tree like get,12
POLITICS,environmentalist vow fight donald trump dangerous embarrassing climate rollback we’ll fight trump court street state local level across america protect health every community”,23
POLITICS,trump ditch press time golf outing presidentelect continues pattern ignoring transparency standard recent decade,14
POLITICS,offended protest penny leaf football game colt win anyway sunday vicepresident mike penny walked indianapolis colt – san francisco er football game even,23
POLITICS,rudy giuliani bernie sander would nominee clinton wall street speech came earlier excerpt speech clinton made reveal thought banker best position regulate,22
POLITICS,trump voter need good economic policy empathy progressive stop relitigating campaign start pushing clearly proworker policy,16
POLITICS,lindsey graham nail problem trump wiretapping claim obama got warrant eavesdrop trump probably something wrong south carolina senator noted,19
POLITICS,michigan billboard blast donald trump antiimmigration rhetoric message latest series posted nuisance committee,13
POLITICS,wendys ceo election ruining burger sale trump clinton blamed turning fastfood consumer frosty,13
