,category,headline,authors,link,short_description,date
0,POLITICS,"The Desperate Claims of Josh Marquis, Part II: There's No Money in Legal Weed","Russ Belville, ContributorHost of The Russ Belville Show on CannabisRadio.com",https://www.huffingtonpost.com/entry/oregon-marijuana-legalization_b_5732124.html,"In continuing my dissection of the obfuscations and half-truths of Clatsop County DA Josh Marquis, I happened upon a statement of his on his personal Facebook page that claims Measure 91's legalization of marijuana won't provide any tax revenues to local law enforcement.",2014-09-04
1,STYLE,Just Try To Look Away From This Bath Bomb Being Made,Jamie Feldman,https://www.huffingtonpost.com/entry/lush-factory-bath-bomb-made_us_583c37efe4b000af95eec21c,So. Freaking. Magical.,2016-11-28
2,STYLE,Non-Traditional and Cool Decorations for the Holidays,"Ada Polla, ContributorCo-creator, Alchimie Forever",https://www.huffingtonpost.com/entry/nontraditional-cool-decor_b_6172790.html,"Over a glass of champagne recently, I had to pick the brains of decorator extraordinaire Tricia Huntley, one of my favorite DC interior style experts.",2014-11-18
3,POLITICS,Steve Scalise Makes Emotional Return to Congress After June Shooting,Sebastian Murdock,https://www.huffingtonpost.com/entry/rep-steve-scalise-thanks-heroes-who-saved-his-life-during-baseball-shooting_us_59cd071fe4b05063fe0f8dad,The lawmaker thanks police heroes who saved him and others on a baseball field.,2017-09-28
4,POLITICS,Republican Congressman Runs Ad Saying He Doesn't Like Donald Trump,Elise Foley,https://www.huffingtonpost.com/entry/mike-coffman-ad-donald-trump_us_57a34e10e4b04414d1f3b54e,"He doesn't like Hillary Clinton, either.",2016-08-04
5,POLITICS,"Ralph Northam Rejects His 'Family's Heritage' Over Monuments, Virginia GOP Charges",Igor Bobic,https://www.huffingtonpost.com/entry/ralph-northam-monuments-gop_us_599dc0d0e4b0d97c4000e7ce,"The state's Democratic gubernatorial nominee says he's OK with “turning my back on white supremacy.""",2017-08-23
6,POLITICS,New England Cod Fishermen Share Coal Miners’ Plight In This New Documentary,Alexander C. Kaufman,https://www.huffingtonpost.com/entry/sacred-cod-documentary_us_58ed1547e4b0ca64d919d595,"“Here I am today, a recycler, a bike seller, a furniture maker. I’m 50 years old and I don’t know what the hell I am.""",2017-04-11
7,POLITICS,"Trump's Diplomacy Is Inappropriate, Delicious",Eliot Nelson and Jeffrey Young,https://www.huffingtonpost.com/entry/trumps-diplomacy-is-inappropriate-delicious_us_58ee9e02e4b0bb9638e11c00,Like what you read below? Sign up for HUFFPOST HILL and get a cheeky dose of political news every evening! President Trump,2017-04-12
8,POLITICS,Key State Department Posts In Flux Amid Trump's 'Fire And Fury' North Korea Threat,Marina Fang,https://www.huffingtonpost.com/entry/trump-north-korea-state-department_us_598af4f2e4b0d793738b8773,"The U.S. has no permanent ambassador to South Korea and no undersecretary for arms control and international security, among many unfilled jobs.",2017-08-09
9,POLITICS,Elizabeth Esty Midterm Election Results: Esty Defeats Republican Mark Greenberg,Ashley Alman,https://www.huffingtonpost.com/entry/elizabeth-etsy-midterm-election-results_n_5838926.html,,2014-11-05
10,STYLE,Caitlyn Jenner On Bathing Suits: 'Don't Know If I'm Ready To Expose Myself',Carly Ledbetter,https://www.huffingtonpost.com/entry/caitlyn-jenner-wearing-bathing-suit_us_55bf661de4b0d4f33a033ef1,"""I just can't see myself doing it.""",2015-08-03
11,POLITICS,Voting Officials Are Fed Up With Donald Trump's Talk Of A 'Rigged' Election,Emily Tate,https://www.huffingtonpost.com/entry/trump-rigged-voting-officials_us_5812474de4b0390e69cede81,They say it’s virtually impossible — and that the GOP nominee is wasting their time.,2016-10-27
12,STYLE,Sandra Bullock Makes Us Feel All The Feels On Our Best-Dressed List,Michelle Persad,https://www.huffingtonpost.com/entry/best-dressed-list_us_55fafebbe4b00310edf624b1,BABE ALERT.,2015-09-18
13,POLITICS,Bernie Sanders Wants Congress To Treat Big Pharma Like Big Tobacco,Jason Cherkis,https://www.huffingtonpost.com/entry/bernie-sanders-big-pharma-opioids_us_5a78d78be4b018ad894efbc0,The senator wants legislation and a hearing to address pharmaceutical companies' role in the opioid epidemic.,2018-02-05
14,POLITICS,Read The GOP's Controversial Secret FISA Memo,Paige Lavender,https://www.huffingtonpost.com/entry/read-the-fisa-memo_us_5a731280e4b0bf6e6e2236d9,President Donald Trump ordered the release of the memo despite protests from the FBI and Democrats.,2018-02-02
15,POLITICS,Coal Baron: Subsidize Coal ‘To Make Sure Grandma Doesn’t Die On The Operating Table’,Alexander C. Kaufman,https://www.huffingtonpost.com/entry/bob-murray-bne_us_5acc1ef1e4b09d0a1196b85e,"Bob Murray, who has heavily influenced the Trump administration's energy stances, said climate change is only an issue of ""political correctness.""",2018-04-10
16,POLITICS,This Is What Authoritarian Governments Do,"Paul Gordon, ContributorSenior Legislative Counsel, People For the American Way and Pe...",https://www.huffingtonpost.com/entry/trump-uses-nyc-attack-to-create-fear-and-undermine_us_59fb893ee4b09afdf01c4183,President Trump is using the New York City attack to stoke fear and undermine democracy.,2017-11-02
17,POLITICS,This Labor Day: Think Big,"Robert Kuttner, ContributorCo-founder and co-editor, 'The American Prospect'",https://www.huffingtonpost.com/entry/this-labor-day-think-big_b_11862674.html,There is no doubt that the economy could provide better jobs for more people. The problem is that political assumptions of what's possible preclude the policies we need.,2016-09-05
